"SSP","Latest_National_Average","First_Period","Second_Period","Third_Period","Percent_Change_First_Period","Percent_Change_First_to_Second_Period"
"126",1939.61538461538,1129.80792377313,1116.46405214014,1116.46405214014,-41.7509299660889,-1.18107435363203
"245",1939.61538461538,1124.44013297603,1109.81016048551,1109.81016048551,-42.0276750795624,-1.30108949880678
"370",1939.61538461538,1129.821837152,1103.22270827511,1103.22270827511,-41.7502126393974,-2.35427640024486
"585",1939.61538461538,1129.70737890086,1090.6815305894,1090.6815305894,-41.7561137191704,-3.45450946327645
