"OBJECTID","Join_Count","TARGET_FID","StudyCoordinates","X","Y","Jan_Precip","Feb_Precip","Mar_Precip","Apr_Precip","May_Precip","Jun_Precip","Jul_Precip","Aug_Precip","Sep_Precip","Oct_Precip","Nov_Precip","Dec_Precip","STATE","LON","LAT","COUNTY","Jan_Tmax","Feb_Tmax","Mar_Tmax","Apr_Tmax","May_Tmax","Jun_Tmax","Jul_Tmax","Aug_Tmax","Sep_Tmax","Oct_Tmax","Nov_Tmax","Dec_Tmax","Jan_Tmin","Feb_Tmin","Mar_Tmin","Apr_Tmin","May_Tmin","Jun_Tmin","Jul_Tmin","Aug_Tmin","Sep_Tmin","Oct_Tmin","Nov_Tmin","Dec_Tmin","RCP","Year"
1,1,1,1,-276371.6018,2400400.4354,9.71139049530029,14,35.505054473877,69.5050506591797,77.5050506591797,79.3497924804688,70.7936630249023,53.3497924804688,40.505054473877,41.3497924804688,19.3497924804688,10,"SD",-99.4871,44.5474,"HYDE",-2.97103142738342,1.41333734989166,7.49888610839844,16.6923809051514,24.0598907470703,29.476749420166,33.4067153930664,33.4401588439941,27.8271083831787,19.4912528991699,7.5155029296875,-0.356697976589203,-14.1579790115356,-10.5,-5.28073406219482,1.70128095149994,8.52756977081299,14.2012805938721,17.1455421447754,16.7433013916016,11.1133375167847,3.64010977745056,-5,-11.4988470077515,"245","2040"
2,1,2,2,-141581.2908,2261399.4047,12,15,43.615592956543,69.604362487793,89,89.8560104370117,76,57.2199554443359,63.3956413269043,42,30.3639469146729,14.3956394195557,"SD",-97.7546,43.3348,"HUTCHINSON",-1.28771841526031,3.12622714042664,9.64664268493652,18.14089012146,25.1271533966064,30.6859931945801,33.304256439209,32.6110763549805,27.7265014648438,20.2152290344238,8.68023109436035,0.970919787883759,-12.2873210906982,-8.7000846862793,-2.96595168113708,3.97838091850281,10.9575538635254,16.3626289367676,19.1597194671631,18.5640621185303,12.6839017868042,5.26826238632202,-3.17060852050781,-9.68744277954102,"245","2040"
3,1,3,3,-317432.295600001,2384356.8509,9,14,35.2196502685547,58.0163421630859,71.5866241455078,81.7735900878906,62.2196502685547,47.4133720397949,35.7933120727539,33.0129661560059,14.7966918945312,11.9836559295654,"SD",-99.9961,44.389,"HUGHES",-1.73993253707886,2.52802538871765,8.68953895568848,17.4274978637695,24.5275897979736,30.1350078582764,34.3866081237793,34.4148635864258,28.5745525360107,20.1865863800049,8.25640678405762,0.754702746868134,-12.7875871658325,-9.40240001678467,-4.1764669418335,2.54277586936951,9.42351150512695,15.0426931381226,18.1896553039551,17.7429027557373,11.7579936981201,4.48447465896606,-4.24164533615112,-10.2555589675903,"245","2040"
4,1,4,4,-584552.942199999,2533325.8555,8,9,19.88743019104,45,75.8449783325195,79.1550216674805,47.726146697998,32,31.2738533020019,24.3864212036133,11,10,"SD",-103.4959,45.5804,"HARDING",-0.814151287078857,3.31101655960083,8.47203350067139,16.1689987182617,23.1084861755371,28.7936840057373,33.1608352661133,33.7186317443848,27.1538276672363,19.1031246185303,7.92894411087036,1.34404277801514,-12.5584049224853,-9.14112854003906,-5.09308004379272,1.26101720333099,7.76061630249023,13.1583814620972,15.8999996185303,15.3929090499878,9.26443767547607,2.19746351242065,-6.02067041397095,-11.2510032653809,"245","2040"
5,1,5,5,-143513.945699999,2299392.0878,11.9335956573486,15,42,74.0600357055664,85.1264343261719,88.9957275390625,70,59.9293251037598,58.9335975646973,44.0600318908691,31,12,"SD",-97.7874,43.6748,"HANSON",-2.16986179351807,2.10950517654419,8.97053909301758,17.7687740325928,24.8564357757568,30.2112731933594,32.8969650268555,32.3133277893066,27.3715305328369,19.71266746521,8.09553146362305,0.00548007758334279,-12.7294616699219,-9.16987323760986,-3.26904726028442,3.73095273971558,10.8309526443481,16.3085155487061,19.0365390777588,18.4556102752686,12.6540489196777,5.0579981803894,-3.54200148582458,-10.2634601593018,"245","2040"
6,1,6,6,-238174.816199999,2399139.8219,9,14,38.7502517700195,63.1448173522949,81.2754211425781,80,66,53.3803558349609,45,39.9601135253906,19,10,"SD",-99.005,44.5478,"HAND",-2.94554305076599,1.38610410690308,7.56812381744385,16.9041404724121,24.2264404296875,29.5499763488769,33.1095504760742,33.0241775512695,27.8377704620361,19.6956386566162,7.60578012466431,-0.291433900594711,-13.9543142318726,-10.3593893051147,-5.01011896133423,2.04929399490356,8.87138938903809,14.6379585266113,17.4492931365967,16.9447860717773,11.2632780075073,3.94582414627075,-4.65865278244019,-11.2516651153565,"245","2040"
7,1,7,7,-94021.5771999992,2409983.9965,14,15.0141897201538,37.309871673584,61.3414764404297,77.3240585327148,99.9542083740234,75.9683990478516,64,57.9542083740234,46.9858093261719,25.9542064666748,13,"SD",-97.1883,44.6737,"HAMLIN",-4.46703481674194,-0.264026284217834,6.43404293060303,16.0014419555664,24.065486907959,28.8021640777588,31.2348365783691,30.8010864257812,25.6032886505127,17.9692535400391,6.23112869262695,-1.86631333827972,-15.1270933151245,-11.4308700561523,-5.2688422203064,2.13546705245972,9.32942771911621,14.8330507278442,17.3671913146973,16.7657375335693,10.868766784668,3.36876678466797,-5.19831228256226,-12.1670455932617,"245","2040"
8,1,8,8,-440567.704299999,2379984.8789,8,13,34.2100868225098,51.7797775268555,81.010139465332,76.2122344970703,54.7797775268555,41.007984161377,32.007984161377,30.2122364044189,14,11,"SD",-101.54,44.2944,"HAAKON",0.0523708611726761,4.17722225189209,9.11303806304932,17.0133533477783,23.5978813171387,29.2926921844482,33.7579231262207,34.068733215332,28.1924877166748,20.1965789794922,9.01320743560791,1.82862365245819,-11.6716346740723,-8.84415721893311,-4.43126440048218,1.90580749511719,8.66919708251953,14.3473196029663,17.3058071136475,17.1117477416992,11.1056003570557,3.69270825386047,-4.57266759872437,-10.2448244094849,"245","2040"
9,1,9,9,-257550.739399999,2248508.5355,11.4593114852905,17.2660865783691,50,77.3968200683594,97.4696807861328,94.2660903930664,77.6031799316406,56.2660865783691,66.2660903930664,40,24.8561305999756,16.0624942779541,"SD",-99.1856,43.1924,"GREGORY",0.62174791097641,4.7458815574646,10.3337821960449,17.8408393859863,24.5430030822754,29.9093322753906,33.5012283325195,33.5242614746094,28.3961181640625,20.7271404266357,9.67192649841309,2.77314496040344,-11.1579885482788,-8.18717288970947,-3.45326805114746,3.12458038330078,9.82458019256592,15.3388938903809,18.4665336608887,18.051721572876,12.3899650573731,5.0319185256958,-3.26218104362488,-9.03705883026123,"245","2040"
10,1,10,10,-60295.2175000012,2465099.2966,14,13.019926071167,38.0371856689453,63.4641532897949,71.1088790893555,89.4641571044922,80.4840774536133,64.5557708740234,52,45.9482345581055,26.9283103942871,11,"SD",-96.7677,45.172,"GRANT",-4.35838890075684,-0.313890159130096,6.40407848358154,16.1298637390137,24.2629356384277,28.9671764373779,31.7922801971436,31.4733467102051,26.1041202545166,18.2850532531738,6.38868045806885,-1.75829827785492,-14.7532711029053,-10.9403162002563,-4.947265625,2.32843947410583,9.21545219421387,14.6391305923462,17.3348903656006,16.6786346435547,11.2108707427978,3.99769926071167,-4.66467714309692,-11.6646766662598,"245","2040"
