"OBJECTID","Join_Count","TARGET_FID","StudyCoordinates","X","Y","prec_206","prec_207","prec_208","prec_209","prec_210","prec_211","prec_212","prec_213","prec_214","prec_215","prec_216","prec_217","STATE","LON","LAT","COUNTY","tmax_206","tmax_207","tmax_208","tmax_209","tmax_210","tmax_211","tmax_212","tmax_213","tmax_214","tmax_215","tmax_216","tmax_217","tmin_206","tmin_207","tmin_208","tmin_209","tmin_210","tmin_211","tmin_212","tmin_213","tmin_214","tmin_215","tmin_216","tmin_217","RCP","Year"
1,1,1,1,-276371.6018,2400400.4354,10.7113904953003,15,37.505054473877,72.5050506591797,77.5050506591797,70.3497924804688,62.6384010314941,49.3497924804688,37.505054473877,39.3497924804688,19.3497924804688,11,"SD",-99.4871,44.5474,"HYDE",-0.944588184356689,3.31333732604981,9.19888591766357,18.7035217285156,27.3778629302979,33.1634864807129,36.6392021179199,36.5546646118164,31.6522712707519,23.2912540435791,10.4011135101318,1.94330203533173,-11.6566982269287,-8.68314075469971,-3.69759273529053,3.74554252624512,11.6024074554443,17.1000003814697,20.1012802124023,19.8181381225586,14.6133375167847,7.04010963439941,-2.79999995231628,-9.1988468170166,"585","2080"
2,1,2,2,-141581.2908,2261399.4047,12,16,46.615592956543,74.604362487793,90,81.8560104370117,70,54.2199554443359,59.3956413269043,42,31.3639469146729,14.3956394195557,"SD",-97.7546,43.3348,"HUTCHINSON",0.842070341110229,4.94248247146606,11.1817245483398,19.9723358154297,28.3500328063965,34.14306640625,36.1400337219238,35.3286895751953,31.3842735290527,23.8747673034668,11.4454040527344,3.40958881378174,-9.96234512329102,-6.91551923751831,-1.37122142314911,5.99611330032349,13.9877262115478,19.1327590942383,21.7597179412842,21.3640613555908,15.9955005645752,8.58390235900879,-0.954353451728821,-7.4897518157959,"585","2080"
3,1,3,3,-317432.295600001,2384356.8509,10,15,37.2196502685547,60.0326881408691,71.5866241455078,72.7735900878906,55.2196502685547,43.2066879272461,33.7933120727539,31.0129661560059,15.7966918945312,12,"SD",-99.9961,44.389,"HUGHES",0.271302402019501,4.4280252456665,10.3306798934937,19.4274978637695,27.8348331451416,33.744384765625,37.6242446899414,37.512809753418,32.3295745849609,23.9865856170654,11.1564073562622,3.06006741523743,-10.3492584228516,-7.64925861358643,-2.66436266899109,4.59730768203735,12.5235109329224,17.9427967071533,21.1373424530029,20.8238124847412,15.3293724060059,7.90586614608765,-2.04164552688599,-8.03228855133057,"585","2080"
4,1,4,4,-584552.942199999,2533325.8555,9,10,21,47,75.8449783325195,73.1550216674805,39,28,30.2738533020019,23,12,11,"SD",-103.4959,45.5804,"HARDING",0.901353895664215,5.22318410873413,10.2042846679688,18.1716346740723,26.4685974121094,32.5682373046875,36.9645347595215,37.3193893432617,31.0997314453125,23.0031242370606,10.8285436630249,3.34404301643372,-10.1087961196899,-7.38442945480347,-3.59571528434753,3.29620480537415,10.8606157302856,16.3156909942627,19.2999992370606,18.7966041564941,13.0644378662109,5.69746351242065,-3.84112858772278,-8.94455432891846,"585","2080"
5,1,5,5,-143513.945699999,2299392.0878,12,16,45,79.0600357055664,86.1264343261719,80.9957275390625,64,55.9335975646973,54.9957313537598,43.0600318908691,32,12,"SD",-97.7874,43.6748,"HANSON",-0.0564957931637764,3.98304200172424,10.5707054138184,19.6687736511231,28.1149291992188,33.7125434875488,35.7969627380371,35.1985282897949,31.0715312957764,23.4141025543213,10.9367065429688,2.42455101013184,-10.3294610977173,-7.36748552322388,-1.73122656345367,5.7579984664917,13.849702835083,19.0526161193848,21.6952381134033,21.3349781036377,16.0514583587646,8.35799884796143,-1.30878865718842,-8.00226020812988,"585","2080"
6,1,6,6,-238174.816199999,2399139.8219,10,15,41.6054306030273,66.5251770019531,81.2754211425781,72,59,49.3803558349609,42,37.9601135253906,19,11,"SD",-99.005,44.5478,"HAND",-0.94033020734787,3.28210759162903,9.26812362670898,18.9590473175049,27.5543460845947,33.2437171936035,36.3329238891602,36.1241760253906,31.6646022796631,23.4996337890625,10.4967088699341,2.03089094161987,-11.3966150283813,-8.45938873291016,-3.41116666793823,4.12683200836182,11.9713897705078,17.4713897705078,20.3492927551269,20.0223255157471,14.7449560165405,7.33105993270874,-2.4576051235199,-8.92070007324219,"585","2080"
7,1,7,7,-94021.5771999992,2409983.9965,15,16.0141906738281,40.309871673584,65.3414764404297,77.6655349731445,89.9542083740234,68.9683990478516,60,52.9542083740234,46.9858093261719,26.9542064666748,13,"SD",-97.1883,44.6737,"HAMLIN",-2.46703481674194,1.63282823562622,8.19917869567871,18.0090656280518,27.3654861450195,32.4962348937988,34.4963531494141,33.9015655517578,29.5014419555664,21.7649040222168,9.03112888336182,0.529812455177307,-12.4616060256958,-9.36812114715576,-3.66884231567383,4.23257303237915,12.3324356079102,17.6325531005859,20.1670761108398,19.7637062072754,14.2687664031982,6.66876649856567,-2.90141558647156,-9.76164150238037,"585","2080"
8,1,8,8,-440567.704299999,2379984.8789,9,14,36.4223213195801,53.7797775268555,81.010139465332,69.2122344970703,47.7797775268555,38.007984161377,31.0079841613769,28.2122364044189,15,12,"SD",-101.54,44.2944,"HAAKON",2.05237102508545,6.01858901977539,10.6764879226685,18.9481220245361,26.9743843078613,32.9743232727051,37.0241203308105,37.1687355041504,31.9798011779785,24.0074501037598,11.918830871582,4.05744934082031,-9.3716344833374,-7.14978122711182,-2.94395041465759,3.94717383384705,11.8057460784912,17.3583850860596,20.3188095092773,20.2893466949463,14.711540222168,7.18695116043091,-2.42034459114075,-8.05026626586914,"585","2080"
9,1,9,9,-257550.739399999,2248508.5355,12.4593114852905,19.2660865783691,54,82.3968200683594,97.3474655151367,85.2660903930664,71.6031799316406,53,63,38,25.8561305999756,16.0624942779541,"SD",-99.1856,43.1924,"GREGORY",2.76331329345703,6.54588174819946,11.8246917724609,19.7060089111328,27.8619251251221,33.382137298584,36.2901802062988,36.2062110900879,31.9780673980713,24.3838367462158,12.5271396636963,5.17314481735229,-8.93801689147949,-6.51431322097778,-1.95326805114746,5.21647834777832,12.9245805740356,18.1569442749023,21.1217021942139,20.9168891906738,15.8617219924927,8.40373611450195,-1.03827798366547,-6.93705940246582,"585","2080"
10,1,10,10,-60295.2175000012,2465099.2966,15,14.019926071167,41,67.4814147949219,71.1088790893555,80.4641571044922,72.4840774536133,60.5730323791504,48,45.9482345581055,27.9283103942871,11,"SD",-96.7677,45.172,"GRANT",-2.43747758865356,1.52410626411438,8.20407867431641,18.2503433227539,27.5743637084961,32.6671752929688,35.1808700561523,34.7223358154297,30.0044612884521,22.085054397583,9.18868064880371,0.531010389328003,-11.9647674560547,-8.82962417602539,-3.31605935096741,4.42809820175171,12.2151107788086,17.417013168335,20.2345161437988,19.7463550567627,14.6108713150024,7.20916414260864,-2.36467719078064,-9.10267353057861,"585","2080"
