"OBJECTID","Join_Count","TARGET_FID","StudyCoordinates","X","Y","Jan_Precip","Feb_Precip","Mar_Precip","Apr_Precip","May_Precip","Jun_Precip","Jul_Precip","Aug_Precip","Sep_Precip","Oct_Precip","Nov_Precip","Dec_Precip","STATE","LON","LAT","COUNTY","Jan_Tmax","Feb_Tmax","Mar_Tmax","Apr_Tmax","May_Tmax","Jun_Tmax","Jul_Tmax","Aug_Tmax","Sep_Tmax","Oct_Tmax","Nov_Tmax","Dec_Tmax","Jan_Tmin","Feb_Tmin","Mar_Tmin","Apr_Tmin","May_Tmin","Jun_Tmin","Jul_Tmin","Aug_Tmin","Sep_Tmin","Oct_Tmin","Nov_Tmin","Dec_Tmin","RCP","Year"
1,1,1,1,-276371.6018,2400400.4354,10.7113904953003,14,36.505054473877,68.5050506591797,74,74,67.7936630249023,52.3497924804688,40.505054473877,41.3497924804688,19.3497924804688,11,"SD",-99.4871,44.5474,"HYDE",-2.40352153778076,1.84598171710968,7.69888591766357,17.6515865325928,25.5500297546387,30.976749420166,34.636962890625,34.5546646118164,29.0522708892822,20.6515865325928,8.25030517578125,0.332327574491501,-13.3566980361938,-10,-4.99759244918823,2.5914204120636,9.92868328094482,15.3999996185303,18.3012790679932,17.8433017730713,12.2964782714844,4.85337257385254,-4.39013957977295,-10.6988468170166,"370","2060"
2,1,2,2,-141581.2908,2261399.4047,12,16,45.2311897277832,69.604362487793,84.8560104370117,84.8560104370117,74,55.2199554443359,62.3956413269043,42,30.7278919219971,14.3956394195557,"SD",-97.7546,43.3348,"HUTCHINSON",-0.687563002109528,3.58561110496521,9.80669975280762,18.9924793243408,26.5945358276367,32.1387519836426,34.3613929748535,33.6292686462402,28.9098281860352,21.3747673034668,9.38411808013916,1.71717882156372,-11.4958648681641,-8.20024013519287,-2.66595149040222,4.79611301422119,12.35755443573,17.4877262115479,20.1597194671631,19.5640621185303,13.7955007553101,6.38448095321655,-2.55901050567627,-8.89482688903809,"370","2060"
3,1,3,3,-317432.295600001,2384356.8509,10,14,36.2196502685547,57.0163421630859,76.7735900878906,76.7735900878906,60.2196502685547,45.4133720397949,35.7933120727539,33.0129661560059,15.7966918945312,12,"SD",-99.9961,44.389,"HUGHES",-1.21150720119476,3.02802538871765,8.84448909759521,18.3295726776123,26.0275688171387,31.6350078582764,35.6242446899414,35.5148849487305,29.7864837646484,21.3296775817871,9.01864719390869,1.45468103885651,-11.9611883163452,-8.94925880432129,-3.90288758277893,3.44277596473694,10.8235111236572,16.2426929473877,19.3374118804932,18.8429012298584,12.9527111053467,5.70586585998535,-3.63226747512817,-9.45555877685547,"370","2060"
4,1,4,4,-584552.942199999,2533325.8555,8,10,20,45,78.1550216674805,78.1550216674805,45,31,31.2738533020019,24.3864212036133,11,11,"SD",-103.4959,45.5804,"HARDING",-0.314151287078857,3.79863810539246,8.70352554321289,17.0716342926025,24.5685977935791,30.3111381530762,34.5645332336426,35.0517539978027,28.3615055084229,20.3620777130127,8.72854328155518,1.87328243255615,-11.7157163619995,-8.68442916870117,-4.79571580886841,2.10651898384094,9.09620571136475,14.4042844772339,17.1478710174561,16.5973644256592,10.4795417785644,3.48373770713806,-5.34112882614136,-10.451003074646,"370","2060"
5,1,5,5,-143513.945699999,2299392.0878,12,16,43,74.0557632446289,83.9957275390625,83.9957275390625,67.9356994628906,56.9957313537598,58.9335975646973,44.0600318908691,31,12,"SD",-97.7874,43.6748,"HANSON",-1.55908691883087,2.60823798179627,9.12820625305176,18.6579990386963,26.3149280548096,31.656436920166,33.9969635009766,33.3986968994141,28.5715312957764,20.9085159301758,8.83670616149902,0.770705461502075,-11.9707641601562,-8.66987323760986,-2.96904730796814,4.5579981803894,12.2309522628784,17.4085159301758,20.0579986572266,19.4556102752686,13.8061275482178,6.20851469039917,-2.94200158119202,-9.46345996856689,"370","2060"
6,1,6,6,-238174.816199999,2399139.8219,10,14,39.7502517700195,63.1448173522949,75,75,63,52.3803558349609,44.764461517334,39.9601135253906,19,11,"SD",-99.005,44.5478,"HAND",-2.36894035339356,1.8648327589035,7.76812362670898,17.8590469360352,25.6816539764404,31.0437164306641,34.3095512390137,34.2106018066406,29.0646018981934,20.895637512207,8.38594055175781,0.408566117286682,-13.1370401382446,-9.80884552001953,-4.71011877059937,2.949294090271,10.2886648178101,15.7713899612427,18.5492935180664,18.0447864532471,12.4181232452393,5.13661432266235,-4.01786851882935,-10.4246969223022,"370","2060"
7,1,7,7,-94021.5771999992,2409983.9965,14,15.0599822998047,38.6513481140137,61.3414764404297,94.2956848144531,94.2956848144531,72.9683990478516,62,55.9542083740234,47.9858093261719,25.9542064666748,13,"SD",-97.1883,44.6737,"HAMLIN",-3.96401977539062,0.232834830880165,6.69916343688965,16.9066524505615,25.565486907959,30.2656135559082,32.4045791625977,31.9318218231201,26.8993949890137,19.1692543029785,6.93112850189209,-1.07018756866455,-14.2640132904053,-10.8616123199463,-4.96775150299072,3.03257322311401,10.7324361801147,15.9325666427612,18.4343948364258,17.7686462402344,12.00168800354,4.56273651123047,-4.53713321685791,-11.2694597244263,"370","2060"
8,1,8,8,-440567.704299999,2379984.8789,8.21008586883545,13,35.2100868225098,50.7797775268555,72.2122344970703,72.2122344970703,52.7797775268555,41,32.007984161377,30.2122364044189,15,12,"SD",-101.54,44.2944,"HAAKON",0.652055442333221,4.61858892440796,9.21341419219971,17.9262447357178,25.1262454986572,30.8741779327393,34.9689445495605,35.2448616027832,29.3924865722656,21.3682136535644,9.80208110809326,2.45744967460632,-10.8716955184937,-8.38916397094727,-4.14395046234131,2.76905083656311,10.0691967010498,15.594934463501,18.4894943237305,18.2893466949463,12.2772359848022,4.91101837158203,-3.93853330612183,-9.47944927215576,"370","2060"
9,1,9,9,-257550.739399999,2248508.5355,12.4593114852905,18.2660865783691,52,76.3968200683594,88.2660903930664,88.2660903930664,75.6031799316406,55,66.7253952026367,39,24.8561305999756,16.0624942779541,"SD",-99.1856,43.1924,"GREGORY",1.22702920436859,5.19285535812378,10.4961757659912,18.7060089111328,26.0430030822754,31.382137298584,34.5803451538086,34.5242614746094,29.5451049804688,21.8541641235352,10.4271402359009,3.49311637878418,-10.4060945510864,-7.72008275985718,-3.18219137191773,4.01647853851318,11.2245807647705,16.511869430542,19.5217018127441,19.0890083312988,13.5899658203125,6.2319188117981,-2.63827800750732,-8.30436515808105,"370","2060"
10,1,10,10,-60295.2175000012,2465099.2966,14,13.019926071167,39.0371856689453,63.4641532897949,84.4641571044922,84.4641571044922,77.4840774536133,62.5730323791504,50,47.9482345581055,26.9283103942871,11,"SD",-96.7677,45.172,"GRANT",-3.8579568862915,0.175077080726624,6.65273427963257,17.0621814727783,25.7629356384277,30.3869571685791,33.0599594116211,32.6223373413086,27.3048915863037,19.5090732574463,7.09937238693237,-1.03393709659576,-13.8647680282593,-10.3646764755249,-4.64692401885986,3.22809815406799,10.6154527664185,15.7170133590698,18.3703746795654,17.7463550567627,12.3108711242676,5.09769916534424,-4.05398607254028,-10.7217388153076,"370","2060"
11,1,11,11,-247363.2092,2457724.8985,12.5496444702148,13.938796043396,38.4884414672852,56.8703804016113,72.8322906494141,72.8322906494141,60.1296195983887,56.6792640686035,42.4884414672852,39.4884414672852,20.5496444702148,11,"SD",-99.1453,45.0711,"FAULK",-3.41185975074768,0.807545006275177,7.01431179046631,17.4781723022461,25.5677337646484,30.6019134521484,33.8995552062988,33.8979568481445,28.2794303894043,20.0937080383301,7.39933919906616,-0.701013624668121,-13.6551198959351,-10.3413133621216,-5.08554840087891,2.70158219337463,9.98697280883789,15.2254276275635,17.879430770874,17.2857151031494,11.5850877761841,4.26735544204712,-4.89055204391479,-11.11061668396,"370","2060"
12,1,12,12,-251573.9212,2496556.0832,10,11,31.8757514953613,58.867374420166,81,81,59.9958114624023,50,38.0326118469238,31.0284233093262,16,10,"SD",-99.2155,45.4188,"EDMUNDS",-3.93635654449463,0.339296847581863,6.5275764465332,16.9709606170654,25.2882289886475,30.1189403533936,33.4770622253418,33.4781913757324,27.5024166107178,19.5275764465332,6.70949983596802,-1.42999231815338,-14.2551984786987,-10.9246082305908,-5.48605537414551,2.41990256309509,9.90014457702637,15.0001449584961,17.6688823699951,17.0006694793701,11.1313104629517,3.90722894668579,-5.19985437393188,-11.699330329895,"370","2060"
13,1,13,13,-190778.190099999,2268306.6077,13.3508653640747,19,47.2667198181152,67.5515365600586,90.8575897216797,90.8575897216797,70.4091262817383,51.4091262817383,61.857593536377,39,24.4091281890869,17.3508644104004,"SD",-98.3662,43.3871,"DOUGLAS",0.0563120469450951,4.17941522598267,10.1811447143555,19.1212692260742,26.7232723236084,32.1912422180176,34.6625556945801,34.2135009765625,29.1685295104981,21.5212688446045,9.72611618041992,2.21753859519958,-10.9590272903442,-7.84290933609009,-2.69385743141174,4.53192472457886,12.1081447601318,17.4059753417969,20.1042461395264,19.6276798248291,13.7982711791992,6.29124164581299,-2.71310901641846,-8.81689739227295,"370","2060"
14,1,14,14,-382567.350299999,2472951.1153,9.78868198394775,13.2029886245728,35.0774803161621,60.7028732299805,74.7970123291016,74.7970123291016,51,43.9141883850098,33.499885559082,28,13,13.2029886245728,"SD",-100.8719,45.1566,"DEWEY",-1.91202592849731,2.29582405090332,7.53513288497925,17.0152778625488,24.9526596069336,30.3616008758545,34.0410461425781,34.1733169555664,28.099250793457,20.0520858764648,7.95239496231079,0.319262593984604,-11.8625373840332,-8.90310478210449,-4.3367338180542,3.05099201202393,10.4629430770874,15.9629430770874,18.8895874023438,18.5906810760498,12.5949287414551,5.24088764190674,-4.02252435684204,-9.70202541351318,"370","2060"
15,1,15,15,-52787.1068999991,2419191.2063,15.7756423950195,17.7756423950195,46.6166572570801,65.2366943359375,89.2243576049805,89.2243576049805,82.4963760375977,68,56.3956832885742,52.1006889343262,27.2366981506348,15,"SD",-96.668,44.76,"DEUEL",-4.19999980926514,-0.306477874517441,6.09999990463257,16.2684631347656,24.8871517181396,29.5950469970703,32.1202201843262,31.5746097564697,26.2837162017822,18.7330627441406,6.58362674713135,-1.31637310981751,-13.9912080764771,-10.5786743164062,-5.09210395812988,2.85438776016235,10.3999996185303,15.6265840530396,18.4292221069336,17.7380142211914,12.1622838973999,4.8622841835022,-4.26198530197144,-11.1163730621338,"370","2060"
16,1,16,16,-125882.0955,2487627.82,15,15.0029029846191,31,53,82.0177917480469,82.0177917480469,71.0177917480469,62.8775215148926,49,37.020694732666,19.0206928253174,14,"SD",-97.6075,45.3672,"DAY",-4.63424491882324,-0.633684515953064,5.81207656860352,16.2446269989014,25.0011329650879,29.5721855163574,32.5048599243164,32.1467018127441,26.4198322296143,18.5163421630859,6.09427499771118,-1.99616527557373,-14.5018472671509,-11.0278148651123,-5.43041038513184,2.87218546867371,10.7172937393188,15.8044385910034,18.5172481536865,18.0005187988281,12.01051902771,4.90992403030396,-4.66030550003052,-11.592432975769,"370","2060"
17,1,17,17,-172309.834799999,2300010.4371,13,17,44.2019920349121,72,84.3818206787109,84.3818206787109,67.7980041503906,51,56.3818206787109,41.6181793212891,28,13.8946542739868,"SD",-98.1461,43.675,"DAVISON",-0.86950409412384,3.23121476173401,9.43998146057129,18.8331813812256,26.4600658416748,31.7999992370606,34.3294830322266,33.9463081359863,29.0431823730469,21.2401180267334,9.22688293457031,1.33998191356659,-11.5493240356445,-8.54872417449951,-3.08690094947815,4.5,12.083176612854,17.3667907714844,20.0862789154053,19.5,13.7169961929321,6.21688318252563,-2.81942367553711,-9.28630065917969,"370","2060"
