"","County","Year","State","Acres_Planted","Acres_Harvested"
"125","POLK",2010,"MN",4500,4300
"126","POTTER",2018,"SD",23300,22700
"127","PROWERS",2007,"CO",1600,1600
"128","RAMSEY",2016,"ND",5400,4240
"129","RANSOM",2016,"ND",2400,2380
"130","RAWLINS",2011,"KS",4500,4100
"131","RED LAKE",2009,"MN",700,600
"132","RED WILLOW",2007,"NE",3200,3000
"133","RENVILLE",2022,"ND",8300,7460
"134","REPUBLIC",2010,"KS",1800,1700
"135","RICHARDSON",2005,"NE",500,500
"136","RICHLAND",2020,"ND",6200,6200
"137","ROLETTE",2022,"ND",5400,5340
"138","ROOKS",2011,"KS",2800,2600
"139","ROSEAU",2016,"MN",10100,9910
"140","SALINE",2013,"KS",500,500
"141","SARGENT",2017,"ND",1000,1000
"142","SCOTT",2011,"KS",2700,2500
"143","SCOTTS BLUFF",2006,"NE",1300,1200
"144","SHERIDAN",2022,"ND",9400,9290
"145","SHERMAN",2015,"TX",1300,1300
"146","SIOUX",2021,"ND",9800,9290
"147","SLOPE",2022,"ND",18700,18500
"148","SMITH",2011,"KS",3100,2900
"149","SPINK",2015,"SD",6400,6300
"150","STANLEY",2014,"SD",15300,15000
"151","STARK",2022,"ND",29100,28700
"152","STEELE",2020,"ND",2000,2000
"153","STEVENS",2015,"MN",1100,1100
"154","STUTSMAN",2022,"ND",8500,8380
"155","SULLY",2016,"SD",90100,86000
"156","THAYER",2005,"NE",1200,1100
"157","THOMAS",2007,"KS",5400,4500
"158","TODD",2010,"MN",1500,1460
"159","TOWNER",2009,"ND",5000,4900
"160","TRAILL",2022,"ND",9400,9090
"161","TRIPP",2017,"SD",4600,4040
"162","VALLEY",2006,"NE",600,600
"163","WADENA",2010,"MN",1200,1190
"164","WALLACE",2011,"KS",5600,5100
"165","WALSH",2022,"ND",19500,19300
"166","WALWORTH",2014,"SD",5700,5610
"167","WARD",2021,"ND",12000,11900
"168","WASHINGTON",2016,"CO",3800,3650
"169","WEBSTER",2005,"NE",500,500
"170","WELD",2011,"CO",2600,2400
"171","WELLS",2020,"ND",12200,12200
"172","WILKIN",2006,"MN",2300,2200
"173","WILLIAMS",2022,"ND",6400,6320
"174","YELLOW MEDICINE",2006,"MN",2700,2600
"175","YOAKUM",2009,"TX",2400,2240
"176","YUMA",2013,"CO",1200,1200
"177","ZIEBACH",2017,"SD",16800,14200
