"OBJECTID","Join_Count","TARGET_FID","StudyCoordinates","X","Y","Jan_Precip","Feb_Precip","Mar_Precip","Apr_Precip","May_Precip","Jun_Precip","Jul_Precip","Aug_Precip","Sep_Precip","Oct_Precip","Nov_Precip","Dec_Precip","STATE","LON","LAT","COUNTY","Jan_Tmax","Feb_Tmax","Mar_Tmax","Apr_Tmax","May_Tmax","Jun_Tmax","Jul_Tmax","Aug_Tmax","Sep_Tmax","Oct_Tmax","Nov_Tmax","Dec_Tmax","Jan_Tmin","Feb_Tmin","Mar_Tmin","Apr_Tmin","May_Tmin","Jun_Tmin","Jul_Tmin","Aug_Tmin","Sep_Tmin","Oct_Tmin","Nov_Tmin","Dec_Tmin","RCP","Year"
1,1,1,1,-276371.6018,2400400.4354,10.7113904953003,14,36.505054473877,68.5050506591797,77.5050506591797,77.3497924804688,68.7936630249023,52.3497924804688,39.505054473877,40.3497924804688,19.3497924804688,11,"SD",-99.4871,44.5474,"HYDE",-2.51678419113159,1.91333734989166,7.7181396484375,17.6022415161133,25.3500289916992,30.6767501831055,34.4392013549805,34.5256156921387,29.0621299743652,20.7081127166748,8.40111351013184,0.443302035331726,-13.4579782485962,-10.0697507858276,-4.95445728302002,2.50128078460693,9.60240745544434,15.1901397705078,18.1012802124023,17.7578182220459,12.2133369445801,4.69759225845337,-4.34202146530151,-10.5580539703369,"245","2060"
2,1,2,2,-141581.2908,2261399.4047,12,15,44.615592956543,70.604362487793,91,89.8560104370117,75,56.2199554443359,60.3956413269043,43,31.3639469146729,14.3956394195557,"SD",-97.7546,43.3348,"HUTCHINSON",-0.757929623126984,3.64907360076904,9.88007545471191,18.8686332702637,26.29465675354,31.7429103851318,34.1791229248047,33.5263824462891,28.9098281860352,21.4152278900146,9.5454044342041,1.87603414058685,-11.5958652496338,-8.27082633972168,-2.65065026283264,4.69611310958862,12.0372581481934,17.2626285552979,19.9300842285156,19.4640617370606,13.6839017868042,6.28448104858398,-2.52123045921326,-8.78975200653076,"245","2060"
3,1,3,3,-317432.295600001,2384356.8509,10,14,36.2196502685547,57.0163421630859,70.5995941162109,79.7735900878906,60.2196502685547,45.4133720397949,34.7933120727539,32.0129661560059,15.7966918945312,12,"SD",-99.9961,44.389,"HUGHES",-1.31676745414734,3.02802538871765,8.93068027496338,18.3274974822998,25.8275680541992,31.3331279754639,35.4296760559082,35.4864120483398,29.7864837646484,21.3959426879883,9.11866855621338,1.55470275878906,-12.0971403121948,-8.98769187927246,-3.87636256217956,3.34277606010437,10.5235109329224,16.0426921844482,19.1375160217285,18.7974128723144,12.8579931259155,5.55807590484619,-3.60569429397583,-9.35555934906006,"245","2060"
4,1,4,4,-584552.942199999,2533325.8555,8,9.88743114471436,20,45,75.8449783325195,79.1550216674805,45,31,31.2738533020019,24,11.2313995361328,10,"SD",-103.4959,45.5804,"HARDING",-0.491726219654083,3.81101655960083,8.77808094024658,17.1649017333984,24.3572216033936,30.0188179016113,34.3608360290527,34.9517555236816,28.354585647583,20.3042831420898,8.81822967529297,1.94444358348846,-11.8876438140869,-8.67838191986084,-4.79308032989502,2.10388374328613,8.85798072814941,14.2035255432129,16.9254455566406,16.5004005432129,10.38938331604,3.38373780250549,-5.32671785354614,-10.3510026931763,"245","2060"
5,1,5,5,-143513.945699999,2299392.0878,12,15,43,74.0600357055664,87.1264343261719,88.9957275390625,69,58.9293251037598,56.9335975646973,44.9978981018066,32,12,"SD",-97.7874,43.6748,"HANSON",-1.65649580955505,2.63252592086792,9.17070579528809,18.5337104797363,26.0961780548096,31.3003311157227,33.7969627380371,33.2986946105957,28.5715312957764,20.9141025543213,8.97309303283691,0.905480086803436,-12.0294609069824,-8.7315149307251,-2.93378114700317,4.46877384185791,11.9085149765015,17.2085151672363,19.8365383148193,19.3556098937988,13.6953525543213,6.0579981803894,-2.86472749710083,-9.34200096130371,"245","2060"
6,1,6,6,-238174.816199999,2399139.8219,10,14,39.7502517700195,63.1448173522949,81.2754211425781,79,64,52.3803558349609,44,39.9601135253906,19,11,"SD",-99.005,44.5478,"HAND",-2.4689404964447,1.88610410690308,7.86200141906738,17.7815341949463,25.481653213501,30.7437152862549,34.137996673584,34.1241760253906,29.0646018981934,20.9220962524414,8.49566173553467,0.530891001224518,-13.23703956604,-9.85938930511475,-4.6389856338501,2.84929418563843,9.97138977050781,15.5713901519775,18.3492927551269,17.9447860717773,12.3449554443359,5.01296043395996,-4.00936460494995,-10.315486907959,"245","2060"
7,1,7,7,-94021.5771999992,2409983.9965,14,15.0141897201538,38.309871673584,61.3414764404297,78.338249206543,98.9542083740234,72.9683990478516,63,54.9542083740234,47.9858093261719,25.9542064666748,13,"SD",-97.1883,44.6737,"HAMLIN",-3.96874260902405,0.235973715782165,6.733558177948,16.8019199371338,25.29563331604,29.9962501525879,32.2958755493164,31.8355674743652,26.8077259063721,19.1692543029785,7.09663200378418,-0.968720614910126,-14.3308544158935,-10.8660526275635,-4.96774482727051,2.93053412437439,10.3659725189209,15.7350978851318,18.2661018371582,17.7324848175049,11.9637050628662,4.4616584777832,-4.49831199645996,-11.1670455932617,"245","2060"
8,1,8,8,-440567.704299999,2379984.8789,8.21008586883545,13,35.2100868225098,50.7797775268555,80.010139465332,74.2122344970703,52.7797775268555,40.007984161377,32.007984161377,29.2122364044189,14,11,"SD",-101.54,44.2944,"HAAKON",0.488920867443085,4.62946128845215,9.31335353851318,17.9261837005615,24.8743839263916,30.5687370300293,34.8292427062988,35.1579246520996,29.3924865722656,21.40744972229,9.87371635437012,2.5290846824646,-11.0608234405518,-8.40760707855225,-4.10258388519287,2.70580744743347,9.76919651031494,15.3529434204102,18.289493560791,18.2117462158203,12.211540222168,4.79270839691162,-3.920405626297,-9.40812969207764,"245","2060"
9,1,9,9,-257550.739399999,2248508.5355,12.4593114852905,18.2660865783691,52,77.3968200683594,98.3474655151367,92.4099578857422,76.6031799316406,55.2660865783691,64.2660903930664,39.5406875610352,24.8561305999756,16.0624942779541,"SD",-99.1856,43.1924,"GREGORY",1.12702918052673,5.25571346282959,10.5337820053101,18.6317501068115,25.7867870330811,31.0184230804443,34.3954620361328,34.424259185791,29.5641975402832,21.9460620880127,10.5800285339356,3.66504311561585,-10.5380172729492,-7.74282836914062,-3.10466527938843,3.91647839546204,10.9164781570435,16.2760353088379,19.3118686676025,18.9837265014648,13.4617214202881,6.07277250289917,-2.63827800750732,-8.19626331329346,"245","2060"
10,1,10,10,-60295.2175000012,2465099.2966,14,13.019926071167,39.0371856689453,63.4641532897949,72.1088790893555,88.4641571044922,77.4840774536133,63.5557708740234,50,47.9482345581055,27.9283103942871,11,"SD",-96.7677,45.172,"GRANT",-3.91250681877136,0.185768455266952,6.70407819747925,16.9621810913086,25.4747943878174,30.0983829498291,32.8815879821777,32.610538482666,27.3044605255127,19.4850540161133,7.22416591644287,-0.913084983825684,-13.9532709121704,-10.3651094436646,-4.64692401885986,3.12809801101685,10.3036842346191,15.5589103698731,18.2356643676758,17.6977005004883,12.2782611846924,4.99769926071167,-3.96467709541321,-10.6023006439209,"245","2060"
