"Features","Overall"
"Jul_Tmax",30.3491082192763
"Sep_Tmin",29.3696770190986
"Jul_Precip",25.6466515998788
"May_Tmin",24.2562973505624
"Jun_Tmin",24.1266609919399
"Oct_Tmin",21.9584783608809
"Feb_Precip",21.3653661960855
"Aug_Tmax",20.3004757597678
"Jun_Tmax",19.4030260514574
"Aug_Tmin",19.072528177444
"Acres_Harvested",18.3572861059642
"Jul_Tmin",18.2014419359883
"Nov_Tmax",18.0419420855664
"Nov_Tmin",17.8338544297574
"Dec_Tmax",17.744873172509
"Feb_Tmin",17.1438016584357
"May_Tmax",17.1109308856978
"Mar_Tmin",16.8731248832513
"Aug_Precip",16.8288577241863
"Dec_Tmin",16.7979632461729
"Jan_Tmin",16.6792088215642
"Oct_Tmax",16.5159045517543
"Jan_Tmax",16.4504681478104
"Jun_Spei_pearson",16.2759137621258
"Jan_Precip",16.1001640041146
"Apr_Tmax",16.0802344285532
"Nov_Precip",15.991773251796
"Sep_Tmax",15.8569768085844
"Mar_Tmax",15.7690581341372
"Jun_Spei_gamma",15.470989987068
